n	ValueBased/Qsort_straight	ValueBased/Qsort_2_6_6	ValueBased/Qsort_2_6_11	ValueBased/Insertion
412	182	174	184	663	
413	183	174	184	666	
414	184	174	185	666	
415	184	175	186	671	
416	182	174	187	672	
417	185	176	185	675	
418	186	176	187	680	
419	184	176	187	682	
420	186	179	188	689	
421	188	178	188	692	
422	189	178	188	694	
423	188	178	190	694	
424	185	180	190	701	
425	187	179	192	704	
426	191	181	193	705	
427	187	181	191	712	
428	188	180	190	713	
429	186	182	191	716	
430	189	181	194	718	
431	190	182	194	721	
432	187	183	195	723	
433	189	184	194	728	
434	189	183	195	729	
435	190	184	196	734	
436	191	185	196	737	
437	192	185	196	738	
438	192	186	196	752	
439	193	186	197	747	
440	191	187	197	748	
441	194	188	199	751	
442	193	187	198	758	
443	194	187	198	757	
444	196	189	198	761	
445	195	190	202	764	
446	197	189	202	769	
447	196	190	200	773	
448	192	189	203	775	
449	194	191	204	779	
450	197	192	202	789	
451	195	192	203	785	
452	193	193	203	789	
453	200	195	202	794	
454	202	193	207	800	
455	202	194	206	800	
456	196	195	205	802	
457	201	196	206	807	
458	205	195	206	811	
459	199	197	208	813	
460	198	196	208	814	
461	207	197	208	819	
462	211	197	209	823	
463	212	198	208	825	
464	199	199	210	830	
465	237	199	209	835	
466	230	200	212	838	
467	197	199	211	841	
468	200	200	211	845	
469	203	202	214	849	
470	204	200	213	854	
471	204	201	211	855	
472	203	201	212	857	
473	203	202	213	864	
474	202	204	214	865	
475	205	203	214	870	
476	203	204	216	872	
477	205	204	217	875	
478	206	205	216	876	
479	206	210	217	881	
480	204	205	217	887	
481	202	207	217	890	
482	204	205	218	893	
483	206	207	218	896	
484	206	208	219	900	
485	208	207	219	906	
486	207	208	219	909	
487	206	210	218	912	
488	206	211	221	918	
489	207	210	222	919	
490	209	211	223	925	
491	209	210	223	927	
492	208	213	223	935	
493	209	214	222	934	
494	209	213	224	938	
495	212	213	224	940	
496	209	213	225	945	
497	209	214	225	1000	
498	211	216	227	1000	
499	210	216	227	1000	
500	212	215	228	1000	
501	210	216	227	1000	
502	213	218	228	1000	
503	212	218	228	1000	
504	211	217	229	1000	
505	212	217	230	1000	
506	211	219	228	1000	
507	214	219	229	1000	
508	214	219	230	1000	
509	215	220	232	1000	
510	213	220	234	1000	
511	214	220	232	1000	
512	209	222	232	1000	
